M =  70
N =  280


l_cov =  [1.5, 1.5, 1.0, 1.0, 0.7, 1.1, 1.0, 1.5, 1.4, 1.0, 1.3, 1.2, 1.3, 1.0, 0.6, 0.8, 1.0, 1.5, 1.3, 0.8, 0.9, 0.9, 1.0, 0.6, 1.0, 1.3, 0.7, 1.2, 1.1, 1.3, 1.1, 1.5, 1.0, 1.3, 0.9, 1.0, 0.7, 1.3, 1.5, 0.6, 1.3, 1.0, 1.3, 0.8, 0.6, 1.0, 1.3, 0.6, 1.3, 0.9, 1.2, 0.6, 0.7, 0.9, 1.4, 1.5, 1.3, 1.1, 0.7, 0.7, 1.5, 0.8, 0.9, 0.8, 1.2, 1.1, 1.4, 1.3, 1.1, 1.0]
vel_at_edge =  [28.55, 18.75, 28.06, 22.91, 24.92, 26.99, 27.36, 24.99, 28.98, 28.74, 23.57, 18.29, 24.92, 21.96, 22.2, 25.22, 28.3, 24.92, 25.47, 28.55, 22.16, 21.64, 26.96, 26.44, 28.47, 24.38, 28.3, 24.38, 15.9, 16.98, 24.92, 26.84, 22.9, 20.03, 21.45, 26.28, 23.51, 16.98, 17.32, 16.67, 20.84, 21.96, 17.66, 16.31, 25.77, 19.87, 20.72, 18.3, 24.18, 23.77, 22.08, 28.47, 20.07, 21.55, 16.34, 22.9, 29.0, 25.82, 23.43, 23.92, 26.17, 24.31, 29.07, 25.83, 20.72, 23.74, 16.34, 20.71, 23.43, 25.87]


serv_app =  [10, 6, 7, 8, 6, 10, 7, 7, 2, 9, 6, 8, 5, 9, 9, 4, 5, 9, 6, 1, 8, 8, 1, 9, 9, 10, 5, 7, 7, 2, 8, 7, 8, 5, 3, 7, 6, 1, 1, 9, 3, 9, 3, 6, 10, 4, 4, 10, 8, 9, 4, 9, 9, 1, 9, 3, 1, 6, 10, 7, 8, 5, 5, 6, 7, 4, 3, 6, 7, 5, 7, 1, 4, 1, 9, 6, 5, 2, 10, 1, 7, 4, 6, 9, 2, 5, 1, 3, 3, 7, 6, 3, 9, 7, 3, 4, 1, 4, 7, 1, 8, 5, 10, 9, 2, 6, 9, 8, 9, 6, 2, 2, 9, 9, 9, 2, 5, 7, 3, 4, 10, 1, 5, 3, 4, 1, 5, 9, 2, 6, 7, 6, 10, 10, 4, 2, 4, 8, 7, 6, 9, 2, 7, 10, 2, 3, 4, 1, 7, 5, 5, 4, 4, 4, 7, 5, 10, 10, 9, 9, 7, 2, 9, 4, 9, 2, 10, 7, 7, 8, 3, 6, 1, 5, 9, 4, 1, 1, 10, 9, 10, 2, 1, 1, 2, 1, 10, 9, 1, 7, 3, 2, 8, 9, 10, 4, 3, 5, 4, 8, 8, 5, 6, 8, 1, 6, 4, 7, 4, 1, 9, 8, 4, 5, 8, 9, 4, 10, 5, 7, 1, 3, 8, 1, 5, 5, 9, 10, 2, 2, 2, 6, 10, 3, 7, 7, 9, 7, 8, 8, 2, 4, 4, 10, 7, 7, 2, 2, 9, 5, 7, 4, 5, 4, 3, 2, 9, 1, 2, 6, 6, 1, 10, 4, 4, 5, 5, 6, 3, 4, 5, 3, 5, 7, 3, 4, 3, 10, 5, 7]
exec_time =  [8, 3, 10, 6, 5, 9, 6, 5, 9, 5, 4, 2, 10, 2, 9, 5, 2, 6, 3, 9, 1, 1, 7, 10, 9, 10, 8, 8, 4, 6, 10, 2, 1, 3, 1, 5, 2, 6, 8, 3, 1, 3, 7, 7, 6, 9, 6, 8, 5, 3, 2, 4, 5, 5, 8, 8, 8, 10, 4, 6, 3, 1, 4, 2, 2, 6, 10, 4, 10, 5, 9, 5, 5, 4, 3, 9, 5, 3, 2, 10, 6, 2, 2, 10, 9, 5, 10, 8, 8, 3, 2, 8, 7, 5, 9, 9, 1, 8, 2, 4, 5, 10, 7, 9, 1, 3, 1, 1, 6, 8, 5, 2, 9, 4, 3, 4, 4, 8, 8, 7, 2, 10, 2, 6, 4, 5, 10, 6, 2, 1, 3, 10, 7, 5, 7, 8, 10, 6, 8, 6, 10, 9, 2, 6, 3, 8, 8, 7, 3, 5, 7, 1, 9, 8, 4, 8, 9, 6, 1, 1, 8, 1, 8, 3, 4, 3, 5, 3, 7, 5, 4, 1, 2, 3, 1, 6, 1, 8, 4, 2, 5, 10, 4, 2, 4, 9, 10, 7, 2, 4, 4, 5, 10, 6, 9, 2, 5, 7, 3, 6, 5, 9, 2, 3, 6, 3, 4, 7, 3, 6, 10, 4, 8, 10, 2, 7, 9, 7, 6, 3, 10, 7, 7, 7, 4, 2, 5, 4, 10, 8, 1, 5, 4, 8, 10, 6, 2, 5, 2, 5, 7, 5, 2, 5, 10, 1, 4, 8, 3, 5, 5, 10, 6, 8, 1, 1, 3, 1, 7, 4, 8, 8, 9, 6, 9, 6, 8, 8, 7, 8, 4, 4, 4, 4, 8, 3, 2, 1, 10, 10]
serv_send_data =  [9, 14, 5, 5, 6, 12, 8, 10, 10, 15, 11, 8, 1, 1, 8, 10, 12, 13, 13, 15, 12, 14, 11, 15, 4, 13, 7, 14, 6, 6, 14, 4, 2, 10, 11, 2, 5, 15, 9, 5, 12, 5, 2, 2, 3, 14, 10, 8, 9, 8, 4, 4, 12, 6, 2, 3, 5, 8, 10, 15, 12, 15, 10, 7, 6, 15, 3, 9, 5, 5, 13, 5, 5, 3, 5, 6, 2, 10, 5, 13, 1, 2, 10, 14, 9, 13, 3, 12, 14, 7, 8, 4, 14, 4, 7, 2, 8, 8, 13, 2, 3, 1, 15, 6, 10, 4, 2, 6, 11, 4, 9, 14, 1, 11, 3, 2, 15, 15, 14, 7, 2, 6, 11, 15, 8, 2, 4, 15, 10, 12, 1, 8, 14, 5, 5, 1, 6, 1, 1, 8, 7, 8, 7, 10, 8, 12, 7, 15, 13, 3, 3, 10, 8, 2, 2, 14, 8, 8, 10, 5, 4, 3, 14, 10, 12, 7, 11, 8, 12, 1, 1, 1, 3, 12, 14, 4, 8, 7, 1, 10, 5, 5, 14, 12, 11, 13, 7, 10, 8, 3, 4, 5, 4, 12, 9, 10, 14, 13, 5, 13, 12, 10, 15, 14, 4, 5, 12, 15, 6, 10, 11, 14, 5, 12, 8, 9, 9, 1, 12, 13, 13, 12, 7, 5, 3, 6, 6, 7, 5, 15, 15, 14, 5, 3, 7, 12, 9, 3, 12, 3, 7, 14, 14, 6, 13, 13, 4, 2, 10, 14, 8, 3, 14, 5, 1, 7, 9, 14, 7, 12, 8, 5, 14, 12, 5, 15, 11, 11, 4, 7, 13, 2, 1, 11, 1, 2, 8, 10, 9, 1]
serv_recv_data =  [8, 4, 2, 12, 7, 3, 4, 12, 10, 11, 14, 13, 8, 2, 2, 12, 2, 9, 15, 10, 8, 15, 7, 4, 15, 3, 13, 8, 6, 15, 2, 13, 13, 13, 11, 11, 9, 5, 4, 13, 12, 13, 3, 8, 6, 10, 14, 13, 13, 2, 5, 15, 12, 9, 10, 15, 15, 6, 1, 15, 2, 5, 10, 7, 13, 12, 11, 10, 4, 7, 4, 3, 12, 12, 8, 13, 3, 9, 12, 6, 13, 7, 9, 13, 7, 3, 5, 13, 11, 5, 13, 10, 2, 10, 5, 3, 5, 2, 4, 13, 8, 3, 6, 2, 14, 15, 4, 1, 10, 10, 1, 7, 7, 6, 11, 6, 3, 14, 14, 11, 15, 7, 8, 14, 1, 15, 9, 12, 4, 9, 12, 4, 2, 9, 2, 13, 10, 3, 4, 11, 15, 5, 1, 9, 9, 6, 14, 2, 3, 14, 4, 14, 7, 6, 9, 12, 15, 9, 11, 10, 6, 10, 12, 7, 5, 12, 14, 3, 12, 9, 8, 9, 3, 2, 5, 9, 1, 8, 7, 14, 15, 14, 11, 14, 12, 5, 6, 2, 5, 15, 2, 9, 15, 1, 14, 10, 14, 10, 2, 11, 11, 10, 3, 14, 10, 15, 8, 15, 8, 13, 5, 5, 3, 14, 13, 3, 4, 9, 6, 7, 15, 1, 10, 4, 1, 7, 15, 6, 10, 7, 8, 6, 10, 15, 1, 8, 14, 14, 13, 4, 12, 6, 14, 13, 4, 14, 12, 9, 11, 5, 9, 3, 12, 11, 2, 4, 13, 11, 9, 9, 11, 9, 15, 8, 15, 15, 13, 8, 7, 14, 11, 6, 2, 1, 6, 12, 9, 12, 14, 1]
mem_app =  [58, 53, 43, 58, 52, 55, 49, 42, 42, 60, 54, 48, 44, 48, 60, 43, 49, 49, 58, 57, 42, 59, 56, 42, 60, 43, 43, 41, 55, 48, 44, 59, 56, 60, 47, 51, 40, 40, 55, 54, 56, 55, 52, 57, 46, 41, 44, 42, 48, 45, 57, 53, 47, 43, 48, 46, 54, 60, 47, 54, 43, 54, 43, 49, 42, 44, 49, 42, 52, 52, 47, 47, 49, 44, 41, 49, 43, 42, 43, 43, 54, 55, 54, 53, 56, 57, 59, 40, 59, 60, 42, 41, 43, 41, 43, 41, 41, 40, 56, 45, 45, 43, 40, 60, 56, 40, 47, 41, 50, 60, 50, 43, 40, 54, 53, 58, 58, 48, 59, 59, 57, 56, 56, 50, 50, 56, 41, 55, 58, 58, 51, 40, 49, 54, 52, 49, 48, 56, 46, 43, 41, 50, 41, 43, 50, 54, 45, 51, 49, 58, 59, 51, 42, 41, 60, 42, 41, 56, 59, 51, 43, 43, 55, 52, 42, 56, 44, 48, 42, 40, 52, 53, 52, 42, 41, 43, 54, 48, 43, 56, 58, 49, 40, 59, 50, 47, 51, 46, 50, 43, 46, 51, 58, 48, 46, 58, 57, 46, 51, 60, 52, 44, 42, 52, 56, 56, 51, 47, 44, 54, 58, 60, 54, 46, 43, 60, 42, 45, 60, 59, 58, 51, 54, 42, 47, 47, 52, 58, 58, 60, 54, 48, 53, 46, 48, 58, 48, 59, 59, 48, 59, 57, 52, 45, 49, 56, 52, 52, 55, 44, 53, 45, 45, 42, 44, 50, 52, 60, 55, 55, 53, 57, 54, 40, 60, 42, 53, 59, 40, 49, 42, 41, 58, 48, 49, 45, 48, 60, 50, 45]

